Name;R;G;B;X;Z;Vel
StartUp_Pre_Departure_candidate1;0;1;0;-436.46,-435.96,-434.56,-432.36,-429.06,-424.76,-420.06,-415.66;-258.8,-254.6,-251.2,-247.9,-244.9,-242.8,-242,-242.3;5.1,5.1,5.1,9.1,9.1,12.7,12.7,16.1
Departure_FOB_exit_entrance_candidate1;0;1;0;-409.9793,-402.5013,-395.1,-388.8,-383.2,-382.4,-378.5741,-371.5,-369.5,-373.4,-386.6,-389.5,-390.7,-389.4,-384.9101,-381.244;-242.4806,-243.2838,-245.1,-248,-255.8,-265.2,-268.2151,-270.3129,-276.1224,-282.2,-282.8,-290.3,-298.8,-305.7,-310.126,-313.3788;19.4,19.4,16.1,16.1,12,12,10.4,10.4,10.4,9.3,9.3,9.3,15.2,15.2,15.2,15.2
Departure_FOB_to_field_candidate1;0;0;1;-375.4085,-367.3395,-360.4206,-353.2228,-343.3001,-326.7983,-328.7534,-334.4495,-343.1438,-349.8195;-318.5272,-326.2954,-334.7578,-346.208,-367.1807,-410.2098,-435.6064,-449.4543,-462.738,-480.2539;19,19,25,25,29,32,29,33,33,33
Force_Protection_field_to_AA_candidate1;1;1;0;-353.9607,-356.2597,-359.0947,-362.4625,-363.8562,-366.5154,-374.7963,-388.6754,-439.0987,-538.3358,-620.8917,-637.79,-654.84,-677.3817,-738.7886,-787.0241,-808.41,-815.64,-814.18,-809.7;-497.6036,-515.1695,-566.3688,-641.7531,-693.8788,-711.2782,-727.8033,-741.9579,-784.8514,-868.2809,-934.6586,-948.88,-960.17,-966.4961,-980.5044,-989.9248,-998.01,-1011.49,-1026.23,-1035.6;33,33,33,33,33,31,25,40,40,40,40,40,40,40,40,40,34,34,32,32
Force_Protection_AA_to_LOD_path_candidate_1;1;1;0;-806.9,-773.4351,-719.9796,-716.13,-709.16,-701.38,-694.7;-1040.2,-1107.769,-1233.292,-1242.48,-1249.72,-1255.23,-1259.5;32,32,32,32,32,24,24
Reconnaissance_LOD_to_FAA_candidate_1;1;0;0;-690.2769,-684.5,-679.9575,-677.9266,-678,-679.8081,-688.932,-701,-708.4397,-710.5001,-710.9,-713.5,-721.4,-732.1,-750.4,-810.8,-849.0029,-861.0884,-871.2613,-879.1951,-882.7,-902.5,-935.6,-954.7,-968.6,-970.9,-969.9,-964.1,-938.5,-923.8;-1262.649,-1266.9,-1270.844,-1274.754,-1279.9,-1284.185,-1290.582,-1297.2,-1306.61,-1314.059,-1323.7,-1331.6,-1337.7,-1338.4,-1340.6,-1347.1,-1351.811,-1355.238,-1360.786,-1369.289,-1383.694,-1429.4,-1474.2,-1493.1,-1511.4,-1523.8,-1539.2,-1551.5,-1591.2,-1612.4;24,24,24,24,24,24,33,33,33,33,33,33,33,15,45,45,45,35,35,35,45,45,45,45,36,36,36,40,50,50
Reconnaissance_FAA_to_RMS_lanes_candidate_1;1;0;0;-914,-878,-838.8,-801.4,-721.3,-667,-603.2,-542.5,-470.7929;-1629.5,-1692.9,-1724.9,-1726.9,-1729.8,-1732,-1734.7,-1736.7,-1739.752;50,50,40,25,15,15,15,15,15
Recon_path South;1;0;0;-457.8,-419.1,-365.6,-342.6,-301.3,-283.4,-258.4,-245.4873,-237.2261,-233.8,-224.9491,-218.9,-217.9,-212.9;-1743,-1744.3,-1746.6,-1755.2,-1788.7,-1791.2,-1767.7,-1753.013,-1742.998,-1738.2,-1724.8,-1711.5,-1695.4,-1673.3;15,15,15,15,15,15,15,15,15,15,15,15,18,18
Recon_path North;1;0;0;-458.0041,-433.0886,-406.9,-400.8,-394.3,-382.2,-366.2,-345.9,-326.2,-315.1,-305.63,-284.93,-278.93,-266,-251.1,-243.58,-237.4,-227.5,-220.4,-218,-213.8;-1739.791,-1740.415,-1735.4,-1724.3,-1702.8,-1685.9,-1676.1,-1673,-1672.1,-1659.5,-1644.25,-1627.93,-1627.56,-1640.4,-1659.3,-1670.62,-1679.1,-1683.4,-1683,-1679.6,-1670.6;15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,15,15,15,18,18
Wthdrawal_Narrow_Bridge_to_LOD_candidate_1;0;1;1;-210.61,-199.02,-194.27,-189.4448,-186.86,-188.285,-195.22,-260.485,-368.12,-423.7582,-543.466,-580.065,-619.11,-657.015,-679.625;-1667.381,-1639.674,-1621.649,-1605.922,-1589.513,-1578.801,-1568.398,-1478.273,-1365.797,-1312.058,-1235.601,-1217.889,-1221.7,-1236.017,-1246.626;18,24,24,20,15,15,35,45,45,45,40,40,40,40,40
Wthdrawal_LOD_to_AA_candidate_1;0;1;1;-688.96,-705.27,-715.78,-723.62,-732.24,-782.5884,-806.8083;-1251.29,-1251.62,-1242.15,-1220.97,-1199.16,-1078.287,-1033.788;25,25,25,35,35,35,35
Withdrawal_path_AA_to_FOB_candidate_2;0;1;1;-809.5,-813.8,-811.6,-803.8,-789.9974,-746.1053,-671.8977,-650.8058,-639.1746,-619.2393,-508.1964,-432.5542,-388.4514,-366.255,-355.594,-350.756,-348.6512,-345.8236,-343.9025,-343.3701,-343.7657,-342.2627,-336.2556,-326.667,-325.8,-334.3,-344.6,-354.1,-364.7,-376.1;-1026.6,-1011.5,-1003.9,-996.5,-993.7687,-985.4722,-967.5424,-962.453,-954.4606,-938.0055,-845.6779,-783.5967,-743.5981,-721.8199,-703.1768,-682.9956,-654.7432,-622.1976,-582.8741,-558.0959,-518.8086,-488.9969,-461.4722,-442.625,-417.7,-390.6,-365.4,-343.8,-327.9,-316.7;35,30,30,30,40,40,40,35,35,40,40,40,40,40,30,30,33,33,33,33,33,33,33,33,30,30,30,25,20,18
